id,money,area,value,url
1,1,1,投资金额10万元，建筑面积100平米，推荐：,
2,1,2,投资金额10万元，建筑面积200平米，推荐：,
3,1,3,投资金额10万元，建筑面积300平米，推荐：,
4,1,4,投资金额10万元，建筑面积400平米，推荐：,
5,1,5,投资金额10万元，建筑面积500平米，推荐：,
6,1,6,投资金额10万元，建筑面积600平米，推荐：,
7,1,7,投资金额10万元，建筑面积700平米，推荐：,
8,1,8,投资金额10万元，建筑面积800平米，推荐：,
9,1,9,投资金额10万元，建筑面积900平米，推荐：,
10,1,10,投资金额10万元，建筑面积1000平米，推荐：,
11,1,11,投资金额10万元，建筑面积2000平米，推荐：,
12,2,1,投资金额20万元，建筑面积100平米，推荐：,
13,2,2,投资金额20万元，建筑面积200平米，推荐：,
14,2,3,投资金额20万元，建筑面积300平米，推荐：,
15,2,4,投资金额20万元，建筑面积400平米，推荐：,
16,2,5,投资金额20万元，建筑面积500平米，推荐：,
17,2,6,投资金额20万元，建筑面积600平米，推荐：,
18,2,7,投资金额20万元，建筑面积700平米，推荐：,
19,2,8,投资金额20万元，建筑面积800平米，推荐：,
20,2,9,投资金额20万元，建筑面积900平米，推荐：,
21,2,10,投资金额20万元，建筑面积1000平米，推荐：,
22,2,11,投资金额20万元，建筑面积2000平米，推荐：,
23,3,1,投资金额30万元，建筑面积100平米，推荐：,
24,3,2,投资金额30万元，建筑面积200平米，推荐：,
25,3,3,投资金额30万元，建筑面积300平米，推荐：,
26,3,4,投资金额30万元，建筑面积400平米，推荐：,
27,3,5,投资金额30万元，建筑面积500平米，推荐：,
28,3,6,投资金额30万元，建筑面积600平米，推荐：,
29,3,7,投资金额30万元，建筑面积700平米，推荐：,
30,3,8,投资金额30万元，建筑面积800平米，推荐：,
31,3,9,投资金额30万元，建筑面积900平米，推荐：,
32,3,10,投资金额30万元，建筑面积1000平米，推荐：,
33,3,11,投资金额30万元，建筑面积2000平米，推荐：,
34,4,1,投资金额40万元，建筑面积100平米，推荐：,
35,4,2,投资金额40万元，建筑面积200平米，推荐：,
36,4,3,投资金额40万元，建筑面积300平米，推荐：,
37,4,4,投资金额40万元，建筑面积400平米，推荐：,
38,4,5,投资金额40万元，建筑面积500平米，推荐：,
39,4,6,投资金额40万元，建筑面积600平米，推荐：,
40,4,7,投资金额40万元，建筑面积700平米，推荐：,
41,4,8,投资金额40万元，建筑面积800平米，推荐：,
42,4,9,投资金额40万元，建筑面积900平米，推荐：,
43,4,10,投资金额40万元，建筑面积1000平米，推荐：,
44,4,11,投资金额40万元，建筑面积2000平米，推荐：,
45,5,1,投资金额50万元，建筑面积100平米，推荐：,
46,5,2,投资金额50万元，建筑面积200平米，推荐：,
47,5,3,投资金额50万元，建筑面积300平米，推荐：,
48,5,4,投资金额50万元，建筑面积400平米，推荐：,
49,5,5,投资金额50万元，建筑面积500平米，推荐：,
50,5,6,投资金额50万元，建筑面积600平米，推荐：,
51,5,7,投资金额50万元，建筑面积700平米，推荐：,
52,5,8,投资金额50万元，建筑面积800平米，推荐：,
53,5,9,投资金额50万元，建筑面积900平米，推荐：,
54,5,10,投资金额50万元，建筑面积1000平米，推荐：,
55,5,11,投资金额50万元，建筑面积2000平米，推荐：,
56,6,1,投资金额60万元，建筑面积100平米，推荐：,
57,6,2,投资金额60万元，建筑面积200平米，推荐：,
58,6,3,投资金额60万元，建筑面积300平米，推荐：,
59,6,4,投资金额60万元，建筑面积400平米，推荐：,
60,6,5,投资金额60万元，建筑面积500平米，推荐：,
61,6,6,投资金额60万元，建筑面积600平米，推荐：,
62,6,7,投资金额60万元，建筑面积700平米，推荐：,
63,6,8,投资金额60万元，建筑面积800平米，推荐：,
64,6,9,投资金额60万元，建筑面积900平米，推荐：,
65,6,10,投资金额60万元，建筑面积1000平米，推荐：,
66,6,11,投资金额60万元，建筑面积2000平米，推荐：,
67,7,1,投资金额70万元，建筑面积100平米，推荐：,
68,7,2,投资金额70万元，建筑面积200平米，推荐：,
69,7,3,投资金额70万元，建筑面积300平米，推荐：,
70,7,4,投资金额70万元，建筑面积400平米，推荐：,
71,7,5,投资金额70万元，建筑面积500平米，推荐：,
72,7,6,投资金额70万元，建筑面积600平米，推荐：,
73,7,7,投资金额70万元，建筑面积700平米，推荐：,
74,7,8,投资金额70万元，建筑面积800平米，推荐：,
75,7,9,投资金额70万元，建筑面积900平米，推荐：,
76,7,10,投资金额70万元，建筑面积1000平米，推荐：,
77,7,11,投资金额70万元，建筑面积2000平米，推荐：,
78,8,1,投资金额80万元，建筑面积100平米，推荐：,
79,8,2,投资金额80万元，建筑面积200平米，推荐：,
80,8,3,投资金额80万元，建筑面积300平米，推荐：,
81,8,4,投资金额80万元，建筑面积400平米，推荐：,
82,8,5,投资金额80万元，建筑面积500平米，推荐：,
83,8,6,投资金额80万元，建筑面积600平米，推荐：,
84,8,7,投资金额80万元，建筑面积700平米，推荐：,
85,8,8,投资金额80万元，建筑面积800平米，推荐：,
86,8,9,投资金额80万元，建筑面积900平米，推荐：,
87,8,10,投资金额80万元，建筑面积1000平米，推荐：,
88,8,11,投资金额80万元，建筑面积2000平米，推荐：,
89,9,1,投资金额90万元，建筑面积100平米，推荐：,
90,9,2,投资金额90万元，建筑面积200平米，推荐：,
91,9,3,投资金额90万元，建筑面积300平米，推荐：,
92,9,4,投资金额90万元，建筑面积400平米，推荐：,
93,9,5,投资金额90万元，建筑面积500平米，推荐：,
94,9,6,投资金额90万元，建筑面积600平米，推荐：,
95,9,7,投资金额90万元，建筑面积700平米，推荐：,
96,9,8,投资金额90万元，建筑面积800平米，推荐：,
97,9,9,投资金额90万元，建筑面积900平米，推荐：,
98,9,10,投资金额90万元，建筑面积1000平米，推荐：,
99,9,11,投资金额90万元，建筑面积2000平米，推荐：,
100,10,1,投资金额100万元，建筑面积100平米，推荐：,
101,10,2,投资金额100万元，建筑面积200平米，推荐：,
102,10,3,投资金额100万元，建筑面积300平米，推荐：,
103,10,4,投资金额100万元，建筑面积400平米，推荐：,
104,10,5,投资金额100万元，建筑面积500平米，推荐：,
105,10,6,投资金额100万元，建筑面积600平米，推荐：,
106,10,7,投资金额100万元，建筑面积700平米，推荐：,
107,10,8,投资金额100万元，建筑面积800平米，推荐：,
108,10,9,投资金额100万元，建筑面积900平米，推荐：,
109,10,10,投资金额100万元，建筑面积1000平米，推荐：,
110,10,11,投资金额100万元，建筑面积2000平米，推荐：,
111,11,1,投资金额200万元，建筑面积100平米，推荐：,
112,11,2,投资金额200万元，建筑面积200平米，推荐：,
113,11,3,投资金额200万元，建筑面积300平米，推荐：,
114,11,4,投资金额200万元，建筑面积400平米，推荐：,
115,11,5,投资金额200万元，建筑面积500平米，推荐：,
116,11,6,投资金额200万元，建筑面积600平米，推荐：,
117,11,7,投资金额200万元，建筑面积700平米，推荐：,
118,11,8,投资金额200万元，建筑面积800平米，推荐：,
119,11,9,投资金额200万元，建筑面积900平米，推荐：,
120,11,10,投资金额200万元，建筑面积1000平米，推荐：,
121,11,11,投资金额200万元，建筑面积2000平米，推荐：,
122,12,1,投资金额300万元，建筑面积100平米，推荐：,
123,12,2,投资金额300万元，建筑面积200平米，推荐：,
124,12,3,投资金额300万元，建筑面积300平米，推荐：,
125,12,4,投资金额300万元，建筑面积400平米，推荐：,
126,12,5,投资金额300万元，建筑面积500平米，推荐：,
127,12,6,投资金额300万元，建筑面积600平米，推荐：,
128,12,7,投资金额300万元，建筑面积700平米，推荐：,
129,12,8,投资金额300万元，建筑面积800平米，推荐：,
130,12,9,投资金额300万元，建筑面积900平米，推荐：,
131,12,10,投资金额300万元，建筑面积1000平米，推荐：,
132,12,11,投资金额300万元，建筑面积2000平米，推荐：,
